source_file,source_sheet,source_row_number,source_category,dataset_from_file,zone_from_file,dataset,method,family,criterion,feature_set_id,num_features,selected_features,feature,selection_frequency,mean_rank,borda_score,rrf_score,cluster,tier,tier_label,zone,path
unsw_candidate_feature_sets.csv,,42,candidate_feature_sets,unsw,,unsw,lasso_c0.1,embedded,q25,unsw__lasso_c0.1__q25__k11,11,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss,,,,,,,,,,
unsw_candidate_feature_sets.csv,,43,candidate_feature_sets,unsw,,unsw,lasso_c0.1,embedded,q50,unsw__lasso_c0.1__q50__k22,22,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_srv_dst;tcprtt;ct_state_ttl;ct_srv_src;ct_flw_http_mthd;state;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;dpkts,,,,,,,,,,
unsw_candidate_feature_sets.csv,,44,candidate_feature_sets,unsw,,unsw,lasso_c0.1,embedded,q75,unsw__lasso_c0.1__q75__k33,33,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_srv_dst;tcprtt;ct_state_ttl;ct_srv_src;ct_flw_http_mthd;state;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;dpkts;is_ftp_login;proto;dwin;sloss;stime;trans_depth;dur;swin;sjit;res_bdy_len;ct_src_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,45,candidate_feature_sets,unsw,,unsw,lasso_c1.0,embedded,elbow,unsw__lasso_c1.0__elbow__k8,8,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,46,candidate_feature_sets,unsw,,unsw,lasso_c1.0,embedded,q25,unsw__lasso_c1.0__q25__k11,11,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss,,,,,,,,,,
unsw_candidate_feature_sets.csv,,47,candidate_feature_sets,unsw,,unsw,lasso_c1.0,embedded,q50,unsw__lasso_c1.0__q50__k22,22,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_state_ttl;ct_srv_dst;tcprtt;state;ct_srv_src;ct_flw_http_mthd;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;is_ftp_login,,,,,,,,,,
unsw_candidate_feature_sets.csv,,48,candidate_feature_sets,unsw,,unsw,lasso_c1.0,embedded,q75,unsw__lasso_c1.0__q75__k33,33,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_state_ttl;ct_srv_dst;tcprtt;state;ct_srv_src;ct_flw_http_mthd;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;is_ftp_login;dpkts;proto;dur;dwin;sloss;trans_depth;stime;swin;sjit;res_bdy_len;dttl,,,,,,,,,,
unsw_candidate_feature_sets.csv,,49,candidate_feature_sets,unsw,,unsw,lightgbm,embedded,elbow,unsw__lightgbm__elbow__k11,11,res_bdy_len;dwin;dpkts;swin;state;ct_state_ttl;sloss;ct_flw_http_mthd;proto;ct_dst_ltm;ct_ftp_cmd,,,,,,,,,,
unsw_candidate_feature_sets.csv,,50,candidate_feature_sets,unsw,,unsw,lightgbm,embedded,q25,unsw__lightgbm__q25__k11,11,res_bdy_len;dwin;dpkts;swin;state;ct_state_ttl;sloss;ct_flw_http_mthd;proto;ct_dst_ltm;ct_ftp_cmd,,,,,,,,,,
unsw_candidate_feature_sets.csv,,51,candidate_feature_sets,unsw,,unsw,lightgbm,embedded,q50,unsw__lightgbm__q50__k22,22,res_bdy_len;dwin;dpkts;swin;state;ct_state_ttl;sloss;ct_flw_http_mthd;proto;ct_dst_ltm;ct_ftp_cmd;djit;sintpkt;stcpb;trans_depth;dur;dintpkt;stime;is_ftp_login;dloss;ct_src_ltm;dmeansz,,,,,,,,,,
unsw_candidate_feature_sets.csv,,52,candidate_feature_sets,unsw,,unsw,lightgbm,embedded,q75,unsw__lightgbm__q75__k33,33,res_bdy_len;dwin;dpkts;swin;state;ct_state_ttl;sloss;ct_flw_http_mthd;proto;ct_dst_ltm;ct_ftp_cmd;djit;sintpkt;stcpb;trans_depth;dur;dintpkt;stime;is_ftp_login;dloss;ct_src_ltm;dmeansz;synack;ltime;sbytes;ct_dst_sport_ltm;ct_srv_dst;ct_srv_src;sjit;smeansz;sttl;sload;dttl,,,,,,,,,,
unsw_candidate_feature_sets.csv,,53,candidate_feature_sets,unsw,,unsw,mi_ga,hybrid,elbow,unsw__mi_ga__elbow__k8,8,dbytes;sbytes;ct_src_dport_ltm;service;res_bdy_len;stcpb;synack;sloss,,,,,,,,,,
unsw_candidate_feature_sets.csv,,54,candidate_feature_sets,unsw,,unsw,mi_ga,hybrid,q25,unsw__mi_ga__q25__k11,11,dbytes;sbytes;ct_src_dport_ltm;service;res_bdy_len;stcpb;synack;sloss;djit;sintpkt;stime,,,,,,,,,,
unsw_candidate_feature_sets.csv,,55,candidate_feature_sets,unsw,,unsw,mi_ga,hybrid,q50,unsw__mi_ga__q50__k22,22,dbytes;sbytes;ct_src_dport_ltm;service;res_bdy_len;stcpb;synack;sloss;djit;sintpkt;stime;dintpkt;sload;sjit;proto;ltime;dloss;ct_srv_dst;ct_srv_src;dwin;dur;state,,,,,,,,,,
unsw_candidate_feature_sets.csv,,56,candidate_feature_sets,unsw,,unsw,mi_ga,hybrid,q75,unsw__mi_ga__q75__k33,33,dbytes;sbytes;ct_src_dport_ltm;service;res_bdy_len;stcpb;synack;sloss;djit;sintpkt;stime;dintpkt;sload;sjit;proto;ltime;dloss;ct_srv_dst;ct_srv_src;dwin;dur;state;sttl;dttl;dload;spkts;dpkts;swin;dtcpb;smeansz;dmeansz;trans_depth;tcprtt,,,,,,,,,,
unsw_candidate_feature_sets.csv,,57,candidate_feature_sets,unsw,,unsw,mi_rfe,hybrid,elbow,unsw__mi_rfe__elbow__k22,22,service;dloss;sload;proto;djit;sintpkt;synack;state;dbytes;stcpb;sbytes;dur;ct_srv_dst;sjit;ltime;dwin;res_bdy_len;ct_srv_src;stime;sloss;ct_src_dport_ltm;dintpkt,,,,,,,,,,
unsw_candidate_feature_sets.csv,,58,candidate_feature_sets,unsw,,unsw,mi_rfe,hybrid,q25,unsw__mi_rfe__q25__k11,11,service;dloss;sload;proto;djit;sintpkt;synack;state;dbytes;stcpb;sbytes,,,,,,,,,,
unsw_candidate_feature_sets.csv,,59,candidate_feature_sets,unsw,,unsw,mi_rfe,hybrid,q50,unsw__mi_rfe__q50__k22,22,service;dloss;sload;proto;djit;sintpkt;synack;state;dbytes;stcpb;sbytes;dur;ct_srv_dst;sjit;ltime;dwin;res_bdy_len;ct_srv_src;stime;sloss;ct_src_dport_ltm;dintpkt,,,,,,,,,,
unsw_candidate_feature_sets.csv,,60,candidate_feature_sets,unsw,,unsw,mi_rfe,hybrid,q75,unsw__mi_rfe__q75__k33,33,service;dloss;sload;proto;djit;sintpkt;synack;state;dbytes;stcpb;sbytes;dur;ct_srv_dst;sjit;ltime;dwin;res_bdy_len;ct_srv_src;stime;sloss;ct_src_dport_ltm;dintpkt;sttl;dttl;dload;spkts;dpkts;swin;dtcpb;smeansz;dmeansz;trans_depth;tcprtt,,,,,,,,,,
unsw_candidate_feature_sets.csv,,61,candidate_feature_sets,unsw,,unsw,mrmr,filter,elbow,unsw__mrmr__elbow__k11,11,synack;state;sloss;stime;dwin;dur;dbytes;sbytes;dloss;proto;dmeansz,,,,,,,,,,
unsw_candidate_feature_sets.csv,,62,candidate_feature_sets,unsw,,unsw,mrmr,filter,q25,unsw__mrmr__q25__k11,11,synack;state;sloss;stime;dwin;dur;dbytes;sbytes;dloss;proto;dmeansz,,,,,,,,,,
unsw_candidate_feature_sets.csv,,63,candidate_feature_sets,unsw,,unsw,mrmr,filter,q50,unsw__mrmr__q50__k22,22,synack;state;sloss;stime;dwin;dur;dbytes;sbytes;dloss;proto;dmeansz;djit;ct_src_dport_ltm;dintpkt;sload;sjit;trans_depth;sintpkt;stcpb;is_sm_ips_ports;res_bdy_len;ct_src_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,64,candidate_feature_sets,unsw,,unsw,mrmr,filter,q75,unsw__mrmr__q75__k33,33,synack;state;sloss;stime;dwin;dur;dbytes;sbytes;dloss;proto;dmeansz;djit;ct_src_dport_ltm;dintpkt;sload;sjit;trans_depth;sintpkt;stcpb;is_sm_ips_ports;res_bdy_len;ct_src_ltm;sttl;ltime;smeansz;ct_srv_dst;tcprtt;ackdat;ct_srv_src;dttl;ct_dst_src_ltm;dtcpb;service,,,,,,,,,,
unsw_candidate_feature_sets.csv,,65,candidate_feature_sets,unsw,,unsw,mutual_info,filter,elbow,unsw__mutual_info__elbow__k14,14,synack;sbytes;state;sloss;dwin;dbytes;dur;stcpb;dloss;proto;stime;sload;ct_src_dport_ltm;djit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,66,candidate_feature_sets,unsw,,unsw,mutual_info,filter,q25,unsw__mutual_info__q25__k11,11,synack;sbytes;state;sloss;dwin;dbytes;dur;stcpb;dloss;proto;stime,,,,,,,,,,
